canto-legacy-chilledWater-detoff|5.847135496,3.087851144,2.175940305,1.878512202,1.734704783
canto-legacy-chilledWater-detON|4.371609847,2.470588481,1.839309291,1.630878393,1.528159567
canto-legacy-dxGlycol-detoff|8.703324156,4.249563409,2.772821027,2.287110679,2.049158339
canto-legacy-dxGlycol-detON|5.773081047,3.044961219,2.137980521,1.837647436,1.688976255
canto-legacy-airCooled-detoff|6.893896338,3.527731947,2.415917450,2.053846202,1.879210765
canto-legacy-airCooled-detON|4.754173445,2.636857196,1.936835006,1.708285854,1.597604961
canto-typical-chilledWater-detoff|5.603497099,2.980081495,2.110794367,1.825352609,1.685872192
canto-typical-chilledWater-detON|4.146494613,2.380509731,1.794297654,1.600934921,1.505784523
canto-typical-dxGlycol-detoff|8.451141498,4.138201194,2.705735270,2.232563999,1.999216391
canto-typical-dxGlycol-detON|5.543434826,2.953053233,2.092040136,1.807075298,1.666122525
canto-typical-airCooled-detoff|6.640659480,3.415621695,2.348177050,1.998668793,1.828644634
canto-typical-airCooled-detON|4.524135629,2.544530613,1.890464537,1.677277731,1.574310743
canto-highEfficiency-chilledWater-detoff|5.265270735,2.830379709,2.024523125,1.760715728,1.632420628
canto-highEfficiency-chilledWater-detON|3.835914187,2.256139706,1.731997295,1.559324060,1.474518119
canto-highEfficiency-dxGlycol-detoff|8.103251735,3.984158340,2.616895954,2.165949113,1.944081158
canto-highEfficiency-dxGlycol-detON|5.226590317,2.826153356,2.028454597,1.764594089,1.634193144
canto-highEfficiency-airCooled-detoff|6.290742394,3.260469995,2.258531688,1.931345997,1.772848460
canto-highEfficiency-airCooled-detON|4.206999366,2.417146149,1.826326489,1.634218334,1.541788056
canto-none-chilledWater-detoff|5.131796359,2.763294417,1.975874061,1.715134185,1.586064429
canto-none-chilledWater-detON|3.721597290,2.205977424,1.702446055,1.535998309,1.453821469
canto-none-dxGlycol-detoff|7.963675483,3.914459189,2.566799127,2.119311358,1.896866663
canto-none-dxGlycol-detON|5.109727876,2.774897070,1.998293871,1.740820919,1.613130529
canto-none-airCooled-detoff|6.151035436,3.190424821,2.208010917,1.884253199,1.725159528
canto-none-airCooled-detON|4.090021556,2.365679397,1.795921052,1.610186917,1.520458834
printB-cand1|2.112747981,1.450835650,1.244146124,1.186872880,1.166953707
printB-cand3|1.910423657,1.400687143,1.245439699,1.205911157,1.195312341
rnd-00|4.191455884,2.320799654,1.702593076,1.500978799,1.403512598
rnd-01|5.210048603,2.811624473,2.014015449,1.749700514,1.618709100
rnd-02|10.703906082,5.011145929,3.115237925,2.484667518,2.170431510
rnd-03|10.338984862,4.865515412,3.043106957,2.437371940,2.135805282
rnd-04|8.431243342,4.112685844,2.676027463,2.199525323,1.963062244
rnd-05|10.385869195,4.867861271,3.031046954,2.420876898,2.117367906
rnd-06|3.062896457,1.913933565,1.548694355,1.441738302,1.399353039
rnd-07|9.748237259,4.606745654,2.899846380,2.336656006,2.059392856
rnd-08|9.106465816,4.404244382,2.841279155,2.323992344,2.068125136
rnd-09|6.461795487,3.299272749,2.249271951,1.902749558,1.732096767
rnd-10|9.331075774,4.478360339,2.869098850,2.339603622,2.080049960
rnd-11|5.498396073,2.935852682,2.087386583,1.809327076,1.673869217
rnd-12|6.891540988,3.491947288,2.363414390,1.991124261,1.807894823
rnd-13|5.498396073,2.935852682,2.087386583,1.809327076,1.673869217
rnd-14|7.467089196,3.724022057,2.477999962,2.064048391,1.858114450
rnd-15|3.913879569,2.226425134,1.675515793,1.501525571,1.421765129
rnd-16|9.717478261,4.620840431,2.925725887,2.363824982,2.085227487
rnd-17|16.201216454,7.244881476,4.264637390,3.275556784,2.784267048
rnd-18|6.373902295,3.237078886,2.196795350,1.854471060,1.686636582
rnd-19|11.126291547,5.209489229,3.243057046,2.592442364,2.270782058
rnd-20|14.321639449,6.492392847,3.887840411,3.023986625,2.595307502
rnd-21|5.996751027,3.088095825,2.125705967,1.810877577,1.657939554
rnd-22|4.965899475,2.700659694,1.954040256,1.712217518,1.596593955
rnd-23|5.458953642,2.916850473,2.074002599,1.796819848,1.661053379
rnd-24|11.465854859,5.320616558,3.274658570,2.594718224,2.256282287
rnd-25|9.576001257,4.541402764,2.870135390,2.318823035,2.047499435
rnd-26|2.555890201,1.666077965,1.385698734,1.305759696,1.275930707
rnd-27|9.289496174,4.473033987,2.874319551,2.347058872,2.087661633
rnd-28|6.188687940,3.162949467,2.160598968,1.831672961,1.671103077
rnd-29|4.489336463,2.489129528,1.826346217,1.608712057,1.502365186
rnd-30|4.328996574,2.421356345,1.792371289,1.588455454,1.490806924
rnd-31|7.286675940,3.648714088,2.439829132,2.040008308,1.842453518
rnd-32|3.106459477,1.849983932,1.440273379,1.311298718,1.252508030
rnd-33|5.537420742,2.928576187,2.063032128,1.777909768,1.637892834
rnd-34|9.651052070,4.548870257,2.851714019,2.288971134,2.009831586
rnd-35|6.710141916,3.395585833,2.294100055,1.929743337,1.749668883
rnd-36|6.363502938,3.252313032,2.218229507,1.876018145,1.706774825
rnd-37|11.736319918,5.450391000,3.358911769,2.664944033,2.320354171
rnd-38|5.970928099,3.122635533,2.178215127,1.867583701,1.715399519
rnd-39|9.868823636,4.652168578,2.917921820,2.343704785,2.059495180
rnd-40|12.842109168,5.867737925,3.545031646,2.772532999,2.387586261
rnd-41|6.962062234,3.509775430,2.363568889,1.985296481,1.799007606
rnd-42|7.793602253,3.875854399,2.576711062,2.149307129,1.939838046
rnd-43|6.252802609,3.220690941,2.221335495,1.897674049,1.742936102
rnd-44|6.411499846,3.285027541,2.249534760,1.909924378,1.744284595
rnd-45|5.315889897,2.794933956,1.958424205,1.682761702,1.547311010
rnd-46|7.412076780,3.697551018,2.461825346,2.051958108,1.848555479
rnd-47|5.550443917,2.908648785,2.035230111,1.750073638,1.611982717
rnd-48|4.178633092,2.379777650,1.784843389,1.590435486,1.496159172
rnd-49|5.251915315,2.814264992,2.005785055,1.739683552,1.609176656
rnd-50|9.473024574,4.557650471,2.926864165,2.389661837,2.125855503
rnd-51|8.706528883,4.189028064,2.689889502,2.195755852,1.952873430
rnd-52|20.009414777,8.820154096,5.097267296,3.862027329,3.248699071
rnd-53|4.542503697,2.502922225,1.829831961,1.611110396,1.505981006
rnd-54|3.037326264,1.852519540,1.466758715,1.345817398,1.291080958
rnd-55|4.457390098,2.512458108,1.871573285,1.664133212,1.565054326
rnd-56|4.324059646,2.364950213,1.718977830,1.509540448,1.409236816
rnd-57|10.563299635,4.998363079,3.149057246,2.537349485,2.235041241
rnd-58|7.844316231,3.866035741,2.541484261,2.101252115,1.882099803
rnd-59|4.334523389,2.405320163,1.778273117,1.582608015,1.494788399
rnd-60|6.124820804,3.129264329,2.135291558,1.807755679,1.646829023
rnd-61|9.368642371,4.451130225,2.818568777,2.279889350,2.014680428
rnd-62|3.521095260,2.034884686,1.554909874,1.407775531,1.343851305
rnd-63|4.807859609,2.652351647,1.938289432,1.703969060,1.589584149
rnd-64|2.714040025,1.795150222,1.505351217,1.422499545,1.391384707
rnd-65|6.622838707,3.383805337,2.306454810,1.949277352,1.772143162
rnd-66|6.662306621,3.409046285,2.332636850,1.980509269,1.809452152
rnd-67|7.047338066,3.455950667,2.261269223,1.865081816,1.668517918
rnd-68|9.246431635,4.488390907,2.910460688,2.391220080,2.136651873
rnd-69|8.686950876,4.211084538,2.722785094,2.229731949,1.985490378
rnd-70|8.867945748,4.276997143,2.750246622,2.244301182,1.993557012
rnd-71|4.332771349,2.427831682,1.800266425,1.597256865,1.500386230
rnd-72|10.896471130,5.127553783,3.212433339,2.580603195,2.269595626
rnd-73|5.196086594,2.768339954,1.967029164,1.706540642,1.581257687
rnd-74|7.701851535,3.816831386,2.525744002,2.098647651,1.887549058
rnd-75|3.405081627,2.044736987,1.602484590,1.464396972,1.402350548
rnd-76|14.668719754,6.601935784,3.915577958,3.022267154,2.577218104
rnd-77|3.606467934,2.108589885,1.611482820,1.447601814,1.367027323
rnd-78|4.789199969,2.646171598,1.936953628,1.704818321,1.591953680
rnd-79|4.985449015,2.649087560,1.879146413,1.629871035,1.510762099
rnd-80|8.843604848,4.249010081,2.720367944,2.213228443,1.961464600
rnd-81|18.529678864,8.170420674,4.720239487,3.572599823,3.000595538
rnd-82|5.325283269,2.763916960,1.912202994,1.630027342,1.490236268
rnd-83|16.492815471,7.341610369,4.293509058,3.279392280,2.773771635
rnd-84|19.052857625,8.397245587,4.848069403,3.667256087,3.078533489
rnd-85|6.657904797,3.409082936,2.335012558,1.984380968,1.814609075
rnd-86|4.434843429,2.471105493,1.824799104,1.616257743,1.517157639
rnd-87|4.736871324,2.619646323,1.915984482,1.683163723,1.568053235
rnd-88|6.307473633,3.205494976,2.175787736,1.836123362,1.668969704
rnd-89|7.824250222,3.863140216,2.545623202,2.108828353,1.892214046
rnd-90|5.422088827,2.883246376,2.045323256,1.772980296,1.642032377
rnd-91|7.342441958,3.684220024,2.473967648,2.078179302,1.886006963
rnd-92|3.231423590,1.903552517,1.467727528,1.328118117,1.262562601
rnd-93|4.026680301,2.287415789,1.711544858,1.522824470,1.430891717
rnd-94|6.143144520,3.094734810,2.081391701,1.745938549,1.579957886
rnd-95|3.660543927,2.116632624,1.608441168,1.444415387,1.366431024
